proj_id,regis_id,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,Firm Name,permit_us_investment,AIMC Category,type,last_upd_date,asset_lv3_name,asset_lv3_code,asset_lv2_name,asset_lv2_code,asset_lv1_name,asset_lv1_code,status
M0318_2560,MF0251_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF2,SCB Foreign Fixed Income 1YF2,SCBFF1YF2,LI,C0000000239,"SCB Asset Management Co., Ltd.",-,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0326_2560,MF0259_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF3,SCB Foreign Fixed Income 1YF3,SCBFF1YF3,LI,C0000000239,"SCB Asset Management Co., Ltd.",-,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0327_2560,MF0266_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF4,SCB Foreign Fixed Income 1YF4,SCBFF1YF4,LI,C0000000239,"SCB Asset Management Co., Ltd.",-,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0345_2560,MF0279_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF5,SCB Foreign Fixed Income 1YF5,SCBFF1YF5,LI,C0000000239,"SCB Asset Management Co., Ltd.",-,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0362_2560,MF0287_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF6,SCB Foreign Fixed Income 1YF6,SCBFF1YF6,LI,C0000000239,"SCB Asset Management Co., Ltd.",-,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0397_2560,MF0296_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF7,SCB Foreign Fixed Income 1YF7,SCBFF1YF7,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0414_2560,MF0305_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF8,SCB Foreign Fixed Income 1YF8,SCBFF1YF8,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0422_2560,MF0316_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YF9,SCB Foreign Fixed Income 1YF9,SCBFF1YF9,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0440_2560,MF0329_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG1,SCB Foreign Fixed Income 1YG1,SCBFF1YG1,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0457_2560,MF0342_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG2,SCB Foreign Fixed Income 1YG2,SCBFF1YG2,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0464_2560,MF0348_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG3,SCB Foreign Fixed Income 1YG3,SCBFF1YG3,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0481_2560,MF0358_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG4,SCB Foreign Fixed Income 1YG4,SCBFF1YG4,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0495_2560,MF0374_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG5,SCB Foreign Fixed Income 1YG5,SCBFF1YG5,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0502_2560,MF0382_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG6,SCB Foreign Fixed Income 1YG6,SCBFF1YG6,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0516_2560,MF0393_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG7,SCB Foreign Fixed Income 1YG7,SCBFF1YG7,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0534_2560,MF0400_2560,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ 1YG8,SCB Foreign Fixed Income 1YG8,SCBFF1YG8,LI,C0000000239,"SCB Asset Management Co., Ltd.",Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
