nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,106482519.05,8.6012,8.8809,8.6013,8.6012,8.6013,8.6012, , 
2020-04-30,109945187.22,8.8809,8.8834,0.0,0.0,0.0,0.0, , 
2020-04-29,110036159.02,8.8834,8.8677,8.8835,8.8834,8.8835,8.8834, , 
2020-04-28,109841737.64,8.8677,8.7615,8.8678,8.8677,8.8678,8.8677, , 
2020-04-27,108341986.11,8.7615,8.5887,8.7616,8.7615,8.7616,8.7615, , 
2020-04-24,105848979.51,8.5887,8.6039,8.5888,8.5887,8.5888,8.5887, , 
2020-04-23,106036296.81,8.6039,8.5842,8.604,8.6039,8.604,8.6039, , 
2020-04-22,105782785.69,8.5842,8.5299,8.5843,8.5842,8.5843,8.5842, , 
2020-04-21,105126109.91,8.5299,8.7077,8.53,8.5299,8.53,8.5299, , 
2020-04-20,107141312.44,8.7077,8.7203,8.7078,8.7077,8.7078,8.7077, , 
2020-04-17,107297276.99,8.7203,8.6006,8.7204,8.7203,8.7204,8.7203, , 
2020-04-16,105823771.43,8.6006,8.6349,8.6007,8.6006,8.6007,8.6006, , 
2020-04-15,106243676.26,8.6349,8.7291,8.635,8.6349,8.635,8.6349, , 
2020-04-14,107231849.41,8.7291,8.7036,8.7292,8.7291,8.7292,8.7291, , 
2020-04-13,106918417.28,8.7036,8.7024,0.0,0.0,0.0,0.0, , 
2020-04-10,106903907.05,8.7024,8.709,0.0,0.0,0.0,0.0, , 
2020-04-09,105694983.35,8.709,8.6235,8.7091,8.709,8.7091,8.709, , 
2020-04-08,104657487.94,8.6235,8.7508,8.6236,8.6235,8.6236,8.6235, , 
2020-04-07,106358528.17,8.7508,8.4558,8.7509,8.7508,8.7509,8.7508, , 
2020-04-03,102773713.58,8.4558,8.4709,8.4559,8.4558,8.4559,8.4558, , 
2020-04-02,102956498.06,8.4709,8.363999999999999,8.471,8.4709,8.471,8.4709, , 
2020-04-01,101635864.26,8.363999999999999,8.5182,8.3641,8.363999999999999,8.3641,8.363999999999999, , 
2020-03-31,103109252.28,8.5182,8.3629,8.5183,8.5182,8.5183,8.5182, , 
2020-03-30,101228309.97,8.3629,8.4617,8.363,8.3629,8.363,8.3629, , 
2020-03-27,102421134.56,8.4617,8.3969,8.4618,8.4617,8.4618,8.4617, , 
2020-03-26,101586446.05,8.3969,8.5018,8.397,8.3969,8.397,8.3969, , 
2020-03-25,102825432.32,8.5018,8.2196,8.5019,8.5018,8.5019,8.5018, , 
2020-03-24,99412782.78,8.2196,7.8144,8.2197,8.2196,8.2197,8.2196, , 
2020-03-23,94286521.93,7.8144,8.1082,7.8145,7.8144,7.8145,7.8144, , 
2020-03-20,97845373.45,8.1082,7.671,8.1083,8.1082,8.1083,8.1082, , 
2020-03-19,92534054.01,7.671,7.8737,7.6711,7.671,7.6711,7.671, , 
2020-03-18,94732811.57,7.8737,8.1757,7.8738,7.8737,7.8738,7.8737, , 
2020-03-17,98315667.82,8.1757,8.2248,8.1758,8.1757,8.1758,8.1757, , 
2020-03-16,98836395.21,8.2248,8.6014,8.2249,8.2248,8.2249,8.2248, , 
2020-03-13,103279134.34,8.6014,8.6474,8.6015,8.6014,8.6015,8.6014, , 
2020-03-12,104502174.45,8.6474,8.9463,8.6475,8.6474,8.6475,8.6474, , 
2020-03-11,108103812.64,8.9463,9.0348,8.9464,8.9463,8.9464,8.9463, , 
2020-03-10,109158401.72,9.0348,8.8888,9.0349,9.0348,9.0349,9.0348, , 
2020-03-09,107346652.35,8.8888,9.3292,8.8889,8.8888,8.8889,8.8888, , 
2020-03-06,112656270.11,9.3292,9.5286,9.3293,9.3292,9.3293,9.3292, , 
2020-03-05,115054181.34,9.5286,9.3614,9.5287,9.5286,9.5287,9.5286, , 
2020-03-04,112951828.16,9.3614,9.3516,9.3615,9.3614,9.3615,9.3614, , 
2020-03-03,112751388.72,9.3516,9.3068,9.3517,9.3516,9.3517,9.3516, , 
2020-03-02,112183947.87,9.3068,9.21,9.3069,9.3068,9.3069,9.3068, , 
2020-02-28,110948484.87,9.21,9.4521,9.2101,9.21,9.2101,9.21, , 
2020-02-27,113900856.29,9.4521,9.369,9.4522,9.4521,9.4522,9.4521, , 
2020-02-26,112719271.08,9.369,9.4165,9.3691,9.369,9.3691,9.369, , 
2020-02-25,113549527.03,9.4165,9.4319,9.4166,9.4165,9.4166,9.4165, , 
2020-02-24,113963015.46,9.4319,9.6082,9.432,9.4319,9.432,9.4319, , 
2020-02-21,115969203.98,9.6082,9.7096,9.6083,9.6082,9.6083,9.6082, , 
2020-02-20,117184127.34,9.7096,9.6898,9.7097,9.7096,9.7097,9.7096, , 
2020-02-19,116934969.82,9.6898,9.6143,9.6899,9.6898,9.6899,9.6898, , 
2020-02-18,115963127.19,9.6143,9.7554,9.6144,9.6143,9.6144,9.6143, , 
2020-02-17,117585331.26,9.7554,9.6834,9.7555,9.7554,9.7555,9.7554, , 
2020-02-14,116716933.09,9.6834,9.6559,9.6835,9.6834,9.6835,9.6834, , 
2020-02-13,115910930.77,9.6559,9.6839,9.656,9.6559,9.656,9.6559, , 
2020-02-12,116129895.02,9.6839,9.6189,9.684,9.6839,9.684,9.6839, , 
2020-02-11,115345380.65,9.6189,9.5401,9.619,9.6189,9.619,9.6189, , 
2020-02-07,114370951.45,9.5401,9.5684,9.5402,9.5401,9.5402,9.5401, , 
2020-02-06,114709418.53,9.5684,9.3179,9.5685,9.5684,9.5685,9.5684, , 
2020-02-03,108837790.67,9.1271,9.1297,9.1272,9.1271,9.1272,9.1271, , 
2020-01-29,112250612.11,9.4545,9.7681,9.4546,9.4545,9.4546,9.4545, , 
2020-01-28,115972747.45,9.7681,9.7664,0.0,0.0,0.0,0.0, , 
2020-01-27,115952717.52,9.7664,9.7656,0.0,0.0,0.0,0.0, , 
2020-01-24,115943301.71,9.7656,9.7403,0.0,0.0,0.0,0.0, , 
2020-01-23,115735888.67,9.7403,9.9197,9.7404,9.7403,9.7404,9.7403, , 
2020-01-22,117866933.91,9.9197,9.7574,9.9198,9.9197,9.9198,9.9197, , 
2020-01-21,115963876.73,9.7574,10.0804,9.7575,9.7574,9.7575,9.7574, , 
2020-01-20,119703073.08,10.0804,10.162,10.0805,10.0804,10.0805,10.0804, , 
2020-01-17,120671595.04,10.162,10.0903,10.1621,10.162,10.1621,10.162, , 
2020-01-15,119148307.53,10.0447,10.1164,10.0448,10.0447,10.0448,10.0447, , 
2020-01-14,119977388.92,10.1164,10.156,10.1165,10.1164,10.1165,10.1164, , 
2020-01-13,120447580.46,10.156,10.0575,10.1561,10.156,10.1561,10.156, , 
2020-01-10,119179672.62,10.0575,10.0696,10.0576,10.0575,10.0576,10.0575, , 
2020-01-07,118022383.6,9.9644,9.9388,9.9645,9.9644,9.9645,9.9644, , 
2020-01-06,117815327.26,9.9388,10.0172,9.9389,9.9388,9.9389,9.9388, , 
2020-01-03,118984863.93,10.0172,10.0679,10.0173,10.0172,10.0173,10.0172, , 
2020-01-02,119553857.33,10.0679,10.0117,10.068,10.0679,10.068,10.0679, , 
2019-12-30,118536425.24,10.0117,9.9899,10.0118,10.0117,10.0118,10.0117, , 
2019-12-27,116968037.87,9.9899,9.8434,9.99,9.9899,9.99,9.9899, , 
