nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,3018245302.28,31.4051,31.9113,31.4366,31.3737,31.4366,31.3737,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-30,3067343457.18,31.9113,31.245,31.9433,31.8794,31.9433,31.8794,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-29,3003164549.63,31.245,31.1646,31.2763,31.2138,31.2763,31.2138,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-28,2995363007.35,31.1646,31.0426,31.1959,31.1334,31.1959,31.1334,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-27,2984784721.21,31.0426,30.7642,31.0737,31.0116,31.0737,31.0116,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-24,2957840390.14,30.7642,31.1265,30.7951,30.7334,30.7951,30.7334,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-23,2993150342.03,31.1265,31.0314,31.1577,31.0954,31.1577,31.0954,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-22,2983203346.97,31.0314,30.8889,31.0625,31.0004,31.0625,31.0004,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-21,2967904929.76,30.8889,31.4406,30.9199,30.858,30.9199,30.858,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-20,3025514956.78,31.4406,30.6511,31.4721,31.4092,31.4721,31.4092,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-17,2949015005.1,30.6511,29.4855,30.6819,30.6204,30.6819,30.6204,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-16,2835791006.71,29.4855,30.4428,29.5151,29.456,29.5151,29.456,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-15,2929971669.58,30.4428,30.9838,30.4733,30.4124,30.4733,30.4124,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-14,2983308276.12,30.9838,30.5147,31.0149,30.9528,31.0149,30.9528,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
2020-04-13,2935071393.28,30.5147,30.4048,30.5453,30.4842,30.5453,30.4842,เป็นราคาที่กำหนดตามเงื่อนไขของกองทุน (รายละเอียดโปรดอ่านหนังสือชี้ชวน), 
