nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,351629618.07,9.8594,9.9531,9.8743,9.8446,9.8743,9.8446, , 
2020-04-30,354908415.6,9.9531,9.8854,9.9681,9.9382,9.9681,9.9382, , 
2020-04-29,350776158.56,9.8854,9.8904,9.9003,9.8706,9.9003,9.8706, , 
2020-04-28,352738831.95,9.8904,9.9846,9.9053,9.8756,9.9053,9.8756, , 
2020-04-27,357712936.82,9.9846,10.0468,9.9997,9.9696,9.9997,9.9696, , 
2020-04-24,361241506.24,10.0468,10.0086,10.062,10.0317,10.062,10.0317, , 
2020-04-23,360048855.21,10.0086,9.8454,10.0237,9.9936,10.0237,9.9936, , 
2020-04-22,355001205.81,9.8454,9.8389,9.8603,9.8306,9.8603,9.8306, , 
2020-04-21,355292007.82,9.8389,9.7602,9.8538,9.8241,9.8538,9.8241, , 
2020-04-20,351703607.54,9.7602,9.8535,9.7749,9.7456,9.7749,9.7456, , 
2020-04-17,399762256.62,9.8535,9.9887,9.8684,9.8387,9.8684,9.8387, , 
2020-04-16,405586842.99,9.9887,9.9208,10.0038,9.9737,10.0038,9.9737, , 
2020-04-15,407525336.81,9.9208,9.9887,9.9358,9.9059,9.9358,9.9059, , 
2020-04-14,410254498.75,9.9887,9.8119,10.0038,9.9737,10.0038,9.9737, , 
2020-04-13,380481146.11,9.8119,9.6449,9.8267,9.7972,9.8267,9.7972, , 
2020-04-10,374005516.51,9.6449,9.6485,0.0,0.0,0.0,0.0, , 
2020-04-09,373909261.4,9.6485,9.5666,9.6631,9.634,9.6631,9.634, , 
2020-04-08,343002681.45,9.5666,9.6415,9.581,9.5523,9.581,9.5523, , 
2020-04-07,361157421.25,9.6415,9.3922,9.6561,9.627,9.6561,9.627, , 
2020-04-03,351906005.61,9.3922,9.3215,9.4064,9.3781,9.4064,9.3781, , 
2020-04-01,349086010.18,9.3215,9.3795,9.3356,9.3075,9.3356,9.3075, , 
2020-03-31,351710725.82,9.3795,9.4419,9.3937,9.3654,9.3937,9.3654, , 
2020-03-27,353745804.52,9.4419,9.333,9.4562,9.4277,9.4562,9.4277, , 
2020-03-26,349755450.1,9.333,9.3574,9.3471,9.319,9.3471,9.319, , 
2020-03-25,353492782.24,9.3574,9.2773,9.3715,9.3434,9.3715,9.3434, , 
2020-03-24,299587418.26,9.2773,8.7353,9.2913,9.2634,9.2913,9.2634, , 
2020-03-23,280849577.77,8.7353,8.7965,8.7485,8.7222,8.7485,8.7222, , 
2020-03-20,281983174.65,8.7965,8.6764,8.8098,8.7833,8.8098,8.7833, , 
2020-03-19,280831018.55,8.6764,8.7474,8.6895,8.6634,8.6895,8.6634, , 
