nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,1408852928.98,8.3559,8.6293,8.4396,8.3559,8.4396,8.3559,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-30,1454946063.31,8.6293,8.633,0.0,0.0,0.0,0.0,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-29,1457186007.23,8.633,8.6184,8.7194,8.633,8.7194,8.633,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-28,1455727050.85,8.6184,8.5152,8.7047,8.6184,8.7047,8.6184,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-27,1447441052.02,8.5152,8.3464,8.6005,8.5152,8.6005,8.5152,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-24,1418736894.71,8.3464,8.3582,8.43,8.3464,8.43,8.3464,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-23,1420725489.85,8.3582,8.3403,8.4419,8.3582,8.4419,8.3582,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-22,1418287254.73,8.3403,8.2892,8.4238,8.3403,8.4238,8.3403,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-21,1410093725.58,8.2892,8.4612,8.3722,8.2892,8.3722,8.2892,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
2020-04-20,1439342641.08,8.4612,8.4757,8.5459,8.4612,8.5459,8.4612,กองทุน อาจคิดค่าธรรมเนียมการขายหน่วยลงทุนกับผู้ลงทุนแต่ละกลุ่มไม่เท่ากัน โปรดอ่านรายละเอียดในหนังสือชี้ชวนส่วนสรุป, 
