nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-04-30,520470832.72,8.1694,8.0253,8.292,8.1694,8.292,8.1694,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-28,511155645.6,8.0232,7.922999999999999,8.1436,8.0232,8.1436,8.0232,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-27,504772931.54,7.922999999999999,7.7723,8.0419,7.922999999999999,8.0419,7.922999999999999,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-24,495250658.3,7.7723,7.8016,7.8889999999999985,7.7723,7.8889999999999985,7.7723,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-23,497103881.83,7.8016,7.629,7.9187,7.8016,7.9187,7.8016,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-22,486104293.39,7.629,7.7521,7.7435,7.629,7.7435,7.629,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-21,493920159.46,7.7521,7.9145,7.8685,7.7521,7.8685,7.7521,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-20,504253086.91,7.9145,7.8281,8.0333,7.9145,8.0333,7.9145,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-17,498743222.71,7.8281,7.775,7.9456,7.8281,7.9456,7.8281,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-16,495337386.44,7.775,7.6536,7.8917,7.775,7.8917,7.775,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-15,487612679.88,7.6536,7.7741,7.7685,7.6536,7.7685,7.6536,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-14,495914988.38,7.7741,7.5997,7.8908,7.7741,7.8908,7.7741,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-13,484790114.14,7.5997,7.5966,0.0,0.0,0.0,0.0,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-10,484591145.33,7.5966,7.5965,0.0,0.0,0.0,0.0,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-09,484721735.17,7.5965,7.5082,7.7105,7.5965,7.7105,7.5965,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-08,479091834.48,7.5082,7.4237,7.6209,7.5082,7.6209,7.5082,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
2020-04-07,473696330.35,7.4237,6.987,7.5352,7.4237,7.5352,7.4237,ครั้งที่  5 รอบระยะเวลาตั้งแต่ 31 ส.ค.  2562 ถึง 30 พ.ย.  2562 จำนวน 91 วัน, 
