nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,134392642.04,7.8935,7.9675,7.9725,7.8935,0.0,0.0, , 
2020-04-30,135652436.23,7.9675,7.8973,8.0473,7.9675,0.0,0.0, , 
2020-04-29,134456860.93,7.8973,7.8653,7.9764,7.8973,0.0,0.0, , 
2020-04-28,133911392.53,7.8653,7.8565,7.9441,7.8653,0.0,0.0, , 
2020-04-27,133761037.53,7.8565,7.8291,7.9352,7.8565,0.0,0.0, , 
2020-04-24,133294348.81,7.8291,7.8884,7.9075,7.8291,0.0,0.0, , 
2020-04-23,134304580.57,7.8884,7.8541,7.9674,7.8884,0.0,0.0, , 
2020-04-22,133720346.8,7.8541,7.8186,7.9327,7.8541,0.0,0.0, , 
2020-04-21,133114542.44,7.8186,7.8541,7.8969,7.8186,0.0,0.0, , 
2020-04-20,133719989.95,7.8541,7.775,7.9327,7.8541,0.0,0.0, , 
2020-04-17,132373086.43,7.775,7.657,7.8529,7.775,0.0,0.0, , 
2020-04-16,130358370.34,7.657,7.7813,7.7337,7.657,0.0,0.0, , 
2020-04-15,132474474.52,7.7813,7.836,7.8592,7.7813,0.0,0.0, , 
2020-04-14,133406484.54,7.836,7.7704,7.9145,7.836,0.0,0.0, , 
2020-04-13,132994799.92,7.7704,7.7273,7.8482,7.7704,0.0,0.0, , 
2020-04-10,132258095.89,7.7273,7.6908,7.8047,7.7273,0.0,0.0, , 
2020-04-09,131631968.28,7.6908,7.6666,7.7678,7.6908,0.0,0.0, , 
2020-04-08,131218860.5,7.6666,7.7019,7.7434,7.6666,0.0,0.0, , 
2020-04-07,131821880.25,7.7019,7.4986,7.779,7.7019,0.0,0.0, , 
2020-04-03,128342823.15,7.4986,7.4824,7.5737,7.4986,0.0,0.0, , 
2020-04-02,128065269.02,7.4824,7.3584,7.5573,7.4824,0.0,0.0, , 
2020-04-01,125919342.27,7.3584,7.4282,7.4321,7.3584,0.0,0.0, , 
2020-03-31,127113540.76,7.4282,7.3013,7.5026,7.4282,0.0,0.0, , 
2020-03-30,124941873.88,7.3013,7.3551,7.3744,7.3013,0.0,0.0, , 
2020-03-27,125863562.71,7.3551,7.3172,7.4288,7.3551,0.0,0.0, , 
2020-03-26,125214847.75,7.3172,7.2812,7.3905,7.3172,0.0,0.0, , 
2020-03-25,124597418.88,7.2812,7.1196,7.3541,7.2812,0.0,0.0, , 
2020-03-24,121831193.27,7.1196,7.0733,7.1909,7.1196,0.0,0.0, , 
2020-03-23,121486370.36,7.0733,7.3998,7.1441,7.0733,0.0,0.0, , 
2020-03-20,127721559.92,7.3998,7.1298,7.4739,7.3998,0.0,0.0, , 
2020-03-19,123061505.11,7.1298,7.1083,7.2012,7.1298,0.0,0.0, , 
2020-03-18,123341896.41,7.1083,7.0711,7.1795,7.1083,0.0,0.0, , 
2020-03-17,122696782.97,7.0711,7.1221,7.1419,7.0711,0.0,0.0, , 
2020-03-16,123575190.67,7.1221,7.3738,7.1934,7.1221,0.0,0.0, , 
2020-03-13,127942430.54,7.3738,7.3006,7.4476,7.3738,0.0,0.0, , 
2020-03-12,126672638.65,7.3006,7.7836,7.3737,7.3006,0.0,0.0, , 
2020-03-11,135054178.7,7.7836,7.8533,7.8615,7.7836,0.0,0.0, , 
2020-03-10,136263732.42,7.8533,7.8064,7.9319,7.8533,0.0,0.0, , 
2020-03-09,135449974.37,7.8064,8.2735,7.8846,7.8064,0.0,0.0, , 
2020-03-06,143595975.86,8.2735,8.39,8.3563,8.2735,0.0,0.0, , 
2020-03-05,145617158.73,8.39,8.3654,8.474,8.39,0.0,0.0, , 
2020-03-04,145189931.58,8.3654,8.3639,8.4492,8.3654,0.0,0.0, , 
2020-03-03,145689125.27,8.3639,8.2093,8.4476,8.3639,0.0,0.0, , 
2020-03-02,142962467.17,8.2093,8.2509,8.2915,8.2093,0.0,0.0, , 
2020-02-28,143687796.75,8.2509,8.4387,8.3335,8.2509,0.0,0.0, , 
2020-02-27,146957788.88,8.4387,8.3366,8.5232,8.4387,0.0,0.0, , 
2020-02-26,145180333.57,8.3366,8.6104,8.4201,8.3366,0.0,0.0, , 
2020-02-25,149945419.66,8.6104,8.5797,8.6966,8.6104,0.0,0.0, , 
2020-02-24,149411827.66,8.5797,8.8111,8.6656,8.5797,0.0,0.0, , 
2020-02-21,153441989.02,8.8111,8.7776,8.8993,8.8111,0.0,0.0, , 
2020-02-20,152858691.18,8.7776,8.8205,8.8655,8.7776,0.0,0.0, , 
2020-02-19,154011544.23,8.8205,8.8281,8.9088,8.8205,0.0,0.0, , 
2020-02-18,154143818.14,8.8281,8.877,8.9165,8.8281,0.0,0.0, , 
2020-02-17,155071647.98,8.877,8.8246,8.9659,8.877,0.0,0.0, , 
2020-02-14,154155699.37,8.8246,8.8475,8.9129,8.8246,0.0,0.0, , 
2020-02-13,154554936.29,8.8475,8.891,8.9361,8.8475,0.0,0.0, , 
2020-02-12,155314916.42,8.891,8.8103,8.98,8.891,0.0,0.0, , 
2020-02-11,153906239.01,8.8103,8.8667,8.8985,8.8103,0.0,0.0, , 
2020-02-07,154890417.7,8.8667,8.8739,8.9555,8.8667,0.0,0.0, , 
2020-02-06,155017548.75,8.8739,8.8769,8.9627,8.8739,0.0,0.0, , 
2020-02-03,152646211.27,8.7401,8.8192,8.8276,8.7401,0.0,0.0, , 
2020-01-29,155867389.23,8.8973,8.8524,8.9864,8.8973,0.0,0.0, , 
2020-01-28,155079335.72,8.8524,8.8892,8.941,8.8524,0.0,0.0, , 
2020-01-27,157326490.18,8.8892,9.0743,8.9782,8.8892,0.0,0.0, , 
2020-01-24,160602117.75,9.0743,9.0795,9.1651,9.0743,0.0,0.0, , 
2020-01-23,160694975.77,9.0795,9.1029,9.1704,9.0795,0.0,0.0, , 
2020-01-22,161109288.05,9.1029,9.1216,9.194,9.1029,0.0,0.0, , 
2020-01-21,161440373.41,9.1216,9.1663,9.2129,9.1216,0.0,0.0, , 
2020-01-20,162230419.57,9.1663,9.2245,9.2581,9.1663,0.0,0.0, , 
2020-01-17,163260378.51,9.2245,9.198,9.3168,9.2245,0.0,0.0, , 
2020-01-15,161594156.14,9.1312,9.1739,9.2226,9.1312,0.0,0.0, , 
2020-01-14,162350962.73,9.1739,9.1785,9.2657,9.1739,0.0,0.0, , 
2020-01-13,162432227.7,9.1785,9.1799,9.2704,9.1785,0.0,0.0, , 
2020-01-10,162457524.15,9.1799,9.1582,9.2718,9.1799,0.0,0.0, , 
2020-01-07,162470575.09,9.1807,9.1151,9.2726,9.1807,0.0,0.0, , 
2020-01-06,161309342.12,9.1151,9.2201,9.2064,9.1151,0.0,0.0, , 
2020-01-03,163169985.24,9.2201,9.2167,9.3124,9.2201,0.0,0.0, , 
2020-01-02,163073158.61,9.2167,9.1403,9.309,9.2167,0.0,0.0, , 
2019-12-30,161721352.16,9.1403,9.1527,9.2318,9.1403,0.0,0.0, , 
2019-12-27,158204963.08,9.1527,9.1526,9.2443,9.1527,0.0,0.0, , 
2019-12-26,158203498.43,9.1526,9.1416,9.2442,9.1526,0.0,0.0, , 
2019-12-25,158011487.5,9.1416,9.1277,9.2331,9.1416,0.0,0.0, , 
2019-12-24,157770449.6,9.1277,9.1362,9.2191,9.1277,0.0,0.0, , 
2019-12-23,162568006.9,9.1362,9.1343,9.2277,9.1362,0.0,0.0, , 
2019-12-20,162533349.7,9.1343,9.1501,9.2257,9.1343,0.0,0.0, , 
2019-12-19,162813856.75,9.1501,9.115,9.2417,9.1501,0.0,0.0, , 
2019-12-18,162189941.54,9.115,9.0349,9.2063,9.115,0.0,0.0, , 
2019-12-13,162866928.66,9.1533,9.1254,9.2449,9.1533,0.0,0.0, , 
2019-12-11,161407038.02,9.0713,9.0873,9.1621,9.0713,0.0,0.0, , 
2019-12-09,161692693.79,9.0873,9.104,9.1783,9.0873,0.0,0.0, , 
2019-12-06,162008850.98,9.104,9.1467,9.1951,9.104,0.0,0.0, , 
