nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,767987754.63,9.9318,9.9255,9.9319,9.9318,9.9319,9.9318,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-30,768001215.43,9.9255,9.9282,9.9256,9.9255,9.9256,9.9255,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-29,768819841.04,9.9282,9.9277,9.9283,9.9282,9.9283,9.9282,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-28,768773414.78,9.9277,9.9277,9.9278,9.9277,9.9278,9.9277,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-27,770897869.23,9.9277,9.9307,9.9278,9.9277,9.9278,9.9277,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-24,772180476.92,9.9307,9.9257,9.9308,9.9307,9.9308,9.9307,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-23,771765170.8,9.9257,9.9357,9.9258,9.9257,9.9258,9.9257,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-22,772756398.16,9.9357,9.9336,9.9358,9.9357,9.9358,9.9357,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-21,772291853.67,9.9336,9.9271,9.9337,9.9336,9.9337,9.9336,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-20,770606845.74,9.9271,9.9225,9.9272,9.9271,9.9272,9.9271,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-17,770265241.42,9.9225,9.9232,9.9226,9.9225,9.9226,9.9225,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-16,770295095.03,9.9232,9.9252,9.9233,9.9232,9.9233,9.9232,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-15,770053521.94,9.9252,9.9288,9.9253,9.9252,9.9253,9.9252,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-14,769872600.83,9.9288,9.9202,9.9289,9.9288,9.9289,9.9288,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-13,769200061.16,9.9202,9.9177,9.9203,9.9202,9.9203,9.9202,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-10,748772091.45,9.9177,9.9083,9.9178,9.9177,9.9178,9.9177,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-09,748058941.75,9.9083,9.9044,9.9084,9.9083,9.9084,9.9083,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-08,747498270.06,9.9044,9.9116,9.9045,9.9044,9.9045,9.9044,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-07,749389470.77,9.9116,9.8965,9.9117,9.9116,9.9117,9.9116,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-03,750103570.46,9.8965,9.8867,9.8966,9.8965,9.8966,9.8965,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-04-01,751752946.33,9.8867,9.9009,9.8868,9.8867,9.8868,9.8867,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
2020-03-31,753109708.22,9.9009,9.9131,9.901,9.9009,9.901,9.9009,ครั้งที่  34 รอบระยะเวลาตั้งแต่ 1 เม.ย. 2562 ถึง 30 ก.ย.  2562 จำนวน 182 วัน, 
