nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,37134860.36,5.8782,5.9953,5.9077,5.8782,0.0,0.0, , 
2020-04-30,37874935.73,5.9953,5.9081,6.0254,5.9953,0.0,0.0, , 
2020-04-29,37323872.5,5.9081,5.8708,5.9377,5.9081,0.0,0.0, , 
2020-04-28,37087876.6,5.8708,5.8489,5.9003,5.8708,0.0,0.0, , 
2020-04-27,36949937.78,5.8489,5.8068,5.8782,5.8489,0.0,0.0, , 
2020-04-24,36683956.15,5.8068,5.8791,5.8359,5.8068,0.0,0.0, , 
2020-04-23,37140439.11,5.8791,5.8294,5.9086,5.8791,0.0,0.0, , 
2020-04-22,36826694.75,5.8294,5.7769,5.8586,5.8294,0.0,0.0, , 
2020-04-21,36495146.52,5.7769,5.8273,5.8059,5.7769,0.0,0.0, , 
2020-04-20,36813361.38,5.8273,5.7155,5.8565,5.8273,0.0,0.0, , 
2020-04-17,36107219.78,5.7155,5.5103,5.7442,5.7155,0.0,0.0, , 
2020-04-16,34810452.09,5.5103,5.6669,5.537999999999999,5.5103,0.0,0.0, , 
2020-04-15,35800227.91,5.6669,5.7509,5.6953,5.6669,0.0,0.0, , 
2020-04-14,36330624.15,5.7509,5.6861,5.7798,5.7509,0.0,0.0, , 
2020-04-13,35921419.76,5.6861,5.6536,5.7146,5.6861,0.0,0.0, , 
2020-04-10,35715831.91,5.6536,5.5767,5.682,5.6536,0.0,0.0, , 
2020-04-09,35230339.86,5.5767,5.5579,5.6047,5.5767,0.0,0.0, , 
2020-04-08,35111406.26,5.5579,5.6053,5.5858,5.5579,0.0,0.0, , 
2020-04-07,35411048.09,5.6053,5.2956,5.6334,5.6053,0.0,0.0, , 
2020-04-03,33454260.94,5.2956,5.3166,5.3222,5.2956,0.0,0.0, , 
2020-04-02,33587349.74,5.3166,5.1499,5.3433,5.3166,0.0,0.0, , 
2020-04-01,32534202.23,5.1499,5.2446,5.1757,5.1499,0.0,0.0, , 
2020-03-31,33132400.75,5.2446,5.1041,5.2709,5.2446,0.0,0.0, , 
2020-03-30,32244511.91,5.1041,5.1543,5.1297,5.1041,0.0,0.0, , 
2020-03-27,32561755.74,5.1543,5.1160000000000005,5.1802,5.1543,0.0,0.0, , 
2020-03-26,32319703.88,5.1160000000000005,5.0777,5.1417,5.1160000000000005,0.0,0.0, , 
2020-03-25,32077813.81,5.0777,4.8807,5.1032,5.0777,0.0,0.0, , 
2020-03-24,30833277.08,4.8807,5.2541,4.9052,4.8807,0.0,0.0, , 
2020-03-20,33192474.64,5.2541,4.9209,5.2805,5.2541,0.0,0.0, , 
2020-03-19,31087107.43,4.9209,4.9092,4.9456,4.9209,0.0,0.0, , 
2020-03-18,31013097.3,4.9092,4.8618,4.9338,4.9092,0.0,0.0, , 
2020-03-17,30713978.73,4.8618,4.901,4.8862,4.8618,0.0,0.0, , 
2020-03-16,30961735.58,4.901,5.2567,4.9256,4.901,0.0,0.0, , 
2020-03-13,33208859.54,5.2567,5.1601,5.2831,5.2567,0.0,0.0, , 
2020-03-12,32598244.65,5.1601,5.7431,5.186,5.1601,0.0,0.0, , 
2020-03-11,36287154.24,5.7431,5.8503,5.7719,5.7431,0.0,0.0, , 
2020-03-10,36964511.49,5.8503,5.7844,5.8797,5.8503,0.0,0.0, , 
2020-03-09,36553718.75,5.7844,6.2728,5.8134,5.7844,0.0,0.0, , 
2020-03-06,39652910.12,6.2728,6.3971,6.3043,6.2728,0.0,0.0, , 
2020-03-05,40438772.22,6.3971,6.3525,6.4292,6.3971,0.0,0.0, , 
2020-03-04,40156815.66,6.3525,6.3429,6.3844,6.3525,0.0,0.0, , 
2020-03-03,40096171.28,6.3429,6.1407,6.3747,6.3429,0.0,0.0, , 
2020-03-02,38817804.56,6.1407,6.1755,6.1715,6.1407,0.0,0.0, , 
2020-02-28,39037936.41,6.1755,6.4548,6.2065,6.1755,0.0,0.0, , 
