nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,5106845765.29,16.595,16.3305,16.844,16.595,16.844,16.595,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 30 เม.ย. 2563,NAV as of 30 April 2020
2020-04-30,5019092054.53,16.3305,16.3305,16.5756,16.3305,16.5756,16.3305,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 28 เม.ย. 2563,NAV as of 28 April 2020
2020-04-29,5019092054.53,16.3305,16.1131,16.5756,16.3305,16.5756,16.3305,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 28 เม.ย. 2563,NAV as of 28 April 2020
2020-04-28,5005096863.4,16.1131,15.8499,16.3549,16.1131,16.3549,16.1131,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 27 เม.ย. 2563,NAV as of 27 April 2020
2020-04-27,4923411778.19,15.8499,15.8954,16.0878,15.8499,16.0878,15.8499,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 24 เม.ย. 2563,NAV as of 24 April 2020
2020-04-24,4937984430.88,15.8954,15.6381,16.1339,15.8954,16.1339,15.8954,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 23 เม.ย. 2563,NAV as of 23 April 2020
2020-04-23,4854834713.28,15.6381,15.8572,15.8728,15.6381,15.8728,15.6381,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 22 เม.ย. 2563,NAV as of 22 April 2020
2020-04-22,4930398052.13,15.8572,16.1315,16.0952,15.8572,16.0952,15.8572,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 21 เม.ย. 2563,NAV as of 21 April 2020
2020-04-21,5019520969.02,16.1315,16.0264,16.3736,16.1315,16.3736,16.1315,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 20 เม.ย. 2563,NAV as of 20 April 2020
2020-04-20,4966755928.01,16.0264,15.8633,16.2669,16.0264,16.2669,16.0264,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 17 เม.ย. 2563,NAV as of 17 April 2020
2020-04-17,4935338979.97,15.8633,15.5794,16.1014,15.8633,16.1014,15.8633,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 16 เม.ย. 2563,NAV as of 16 April 2020
2020-04-16,4848729043.29,15.5794,15.6907,15.8132,15.5794,15.8132,15.5794,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 15 เม.ย. 2563,NAV as of 15 April 2020
2020-04-15,4886166950.32,15.6907,15.3943,15.9262,15.6907,15.9262,15.6907,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 14 เม.ย. 2563,NAV as of 14 April 2020
2020-04-14,4799057769.18,15.3943,15.4795,15.6253,15.3943,15.6253,15.3943,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 13 เม.ย. 2563,NAV as of 13 April 2020
2020-04-13,4827060301.9,15.4795,15.2845,15.7118,15.4795,15.7118,15.4795,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 09 เม.ย. 2563,NAV as of 09 April 2020
2020-04-10,4765760560.6,15.2845,15.2845,15.5139,15.2845,15.5139,15.2845,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 08 เม.ย. 2563,NAV as of 08 April 2020
2020-04-09,4765760560.6,15.2845,15.014,15.5139,15.2845,15.5139,15.2845,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 08 เม.ย. 2563,NAV as of 08 April 2020
2020-04-08,4681028035.86,15.014000000000001,14.0526,15.2393,15.014000000000001,15.2393,15.014000000000001,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 07 เม.ย. 2563,NAV as of 07 April 2020
2020-04-07,4385622612.21,14.0526,14.4128,14.2635,14.0526,14.2635,14.0526,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 03 เม.ย. 2563,NAV as of 03 April 2020
2020-04-03,4500066771.16,14.4128,14.7993,14.6291,14.4128,14.6291,14.4128,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 02 เม.ย. 2563,NAV as of 02 April 2020
2020-04-02,4618101122.07,14.7993,15.4761,15.0214,14.7993,15.0214,14.7993,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 01 เม.ย. 2563,NAV as of 01 April 2020
2020-04-01,4823532279.99,15.4761,15.6385,15.7083,15.4761,15.7083,15.4761,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 31 มี.ค. 2563,NAV as of 31 March 2020
2020-03-31,4872766140.38,15.6385,15.7833,15.8732,15.6385,15.8732,15.6385,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 30 มี.ค. 2563,NAV as of 30 March 2020
2020-03-30,4914244464.3,15.7833,15.1251,16.0202,15.7833,16.0202,15.7833,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 27 มี.ค. 2563,NAV as of 27 March 2020
2020-03-27,4705099211.58,15.1251,15.2192,15.3521,15.1251,15.3521,15.1251,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 26 มี.ค. 2563,NAV as of 26 March 2020
2020-03-26,4743459298.65,15.2192,14.362,15.4476,15.2192,15.4476,15.2192,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 25 มี.ค. 2563,NAV as of 25 March 2020
2020-03-25,4490482597.11,14.362,13.8921,14.5775,14.362,14.5775,14.362,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 24 มี.ค. 2563,NAV as of 24 March 2020
2020-03-24,4349399858.86,13.8921,13.5849,14.1006,13.8921,14.1006,13.8921,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 23 มี.ค. 2563,NAV as of 23 March 2020
2020-03-23,4259585216.65,13.5849,13.5849,13.7888,13.5849,13.7888,13.5849,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 19 มี.ค. 2563,NAV as of 19 March 2020
2020-03-20,4259585216.65,13.5849,13.5528,13.7888,13.5849,13.7888,13.5849,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 19 มี.ค. 2563,NAV as of 19 March 2020
2020-03-19,4271526207.88,13.5528,13.6931,13.7562,13.5528,13.7562,13.5528,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 18 มี.ค. 2563,NAV as of 18 March 2020
2020-03-18,4346410928.73,13.6931,13.1466,13.8986,13.6931,13.8986,13.6931,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 17 มี.ค. 2563,NAV as of 17 March 2020
2020-03-17,4183410375.8,13.1466,13.4644,13.3439,13.1466,13.3439,13.1466,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 16 มี.ค. 2563,NAV as of 16 March 2020
2020-03-16,4288822031.16,13.4644,14.2989,13.6665,13.4644,13.6665,13.4644,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 13 มี.ค. 2563,NAV as of 13 March 2020
2020-03-13,4554563679.92,14.2989,15.0597,14.5135,14.2989,14.5135,14.2989,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 12 มี.ค. 2563,NAV as of 12 March 2020
2020-03-12,4785827802.59,15.0597,15.4554,15.2857,15.0597,15.2857,15.0597,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 11 มี.ค. 2563,NAV as of 11 March 2020
2020-03-11,4901635352.34,15.4554,15.2153,15.6873,15.4554,15.6873,15.4554,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 10 มี.ค. 2563,NAV as of 10 March 2020
2020-03-10,4809468245.65,15.2153,16.2933,15.4436,15.2153,15.4436,15.2153,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 09 มี.ค. 2563,NAV as of 09 March 2020
2020-03-09,5135801629.01,16.2933,16.9145,16.5378,16.2933,16.5378,16.2933,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 06 มี.ค. 2563,NAV as of 06 March 2020
2020-03-06,5311922897.36,16.9145,16.8791,17.1683,16.9145,17.1683,16.9145,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 05 มี.ค. 2563,NAV as of 05 March 2020
2020-03-05,5294879665.73,16.8791,16.9606,17.1324,16.8791,17.1324,16.8791,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 04 มี.ค. 2563,NAV as of 04 March 2020
2020-03-04,5310988707.84,16.9606,17.2498,17.2151,16.9606,17.2151,16.9606,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 03 มี.ค. 2563,NAV as of 03 March 2020
2020-03-03,5374620973.02,17.2498,16.778,17.5086,17.2498,17.5086,17.2498,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 02 มี.ค. 2563,NAV as of 02 March 2020
2020-03-02,5260422287.07,16.778,17.5556,17.0298,16.778,17.0298,16.778,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 28 ก.พ. 2563,NAV as of 28 February 2020
2020-02-28,5538103234.81,17.5556,18.0214,17.819000000000006,17.5556,17.819000000000006,17.5556,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 27 ก.พ. 2563,NAV as of 27 February 2020
2020-02-27,5682069261.55,18.0214,18.1872,18.2918,18.0214,18.2918,18.0214,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 26 ก.พ. 2563,NAV as of 26 February 2020
2020-02-26,5716275476.11,18.1872,18.956,18.4601,18.1872,18.4601,18.1872,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 25 ก.พ. 2563,NAV as of 25 February 2020
2020-02-25,5940121204.15,18.956,18.956,19.2404,18.956,19.2404,18.956,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 21 ก.พ. 2563,NAV as of 21 February 2020
2020-02-24,5940121204.15,18.956,19.0386,19.2404,18.956,19.2404,18.956,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 21 ก.พ. 2563,NAV as of 21 February 2020
2020-02-21,5983035042.92,19.0386,19.1087,19.3243,19.0386,19.3243,19.0386,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 20 ก.พ. 2563,NAV as of 20 February 2020
2020-02-20,6010117287.99,19.1087,19.007,19.3954,19.1087,19.3954,19.1087,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 19 ก.พ. 2563,NAV as of 19 February 2020
