nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,82665422.98,6.3949,6.5006,6.395,6.3949,0.0,0.0, , 
2020-04-30,84032512.63,6.5006,6.4317,6.5007,6.5006,0.0,0.0, , 
2020-04-29,83141058.3,6.4317,6.3937,6.4318,6.4317,0.0,0.0, , 
2020-04-28,82649643.63,6.3937,6.3853,6.3938,6.3937,0.0,0.0, , 
2020-04-27,83160125.16,6.3853,6.3316,6.3854,6.3853,0.0,0.0, , 
2020-04-24,82461025.04,6.3316,6.3899,6.3317,6.3316,0.0,0.0, , 
2020-04-23,83220879.5,6.3899,6.352,6.39,6.3899,0.0,0.0, , 
2020-04-22,82726909.79,6.352,6.3122,6.3521,6.352,0.0,0.0, , 
2020-04-21,82208526.4,6.3122,6.3361,6.3123,6.3122,0.0,0.0, , 
2020-04-20,82519511.61,6.3361,6.2521,6.3362,6.3361,0.0,0.0, , 
2020-04-17,81426338.14,6.2521,5.9832,6.2522,6.2521,0.0,0.0, , 
2020-04-16,77923451.66,5.9832,6.1101,5.9833,5.9832,0.0,0.0, , 
2020-04-15,79577113.43,6.1101,6.1779,6.1102,6.1101,0.0,0.0, , 
2020-04-14,80460118.66,6.1779,6.1395,6.178,6.1779,0.0,0.0, , 
2020-04-13,79959655.98,6.1395,6.1436,6.1396,6.1395,0.0,0.0, , 
2020-04-10,80012333.91,6.1436,6.0897,6.1437,6.1436,0.0,0.0, , 
2020-04-09,79310935.26,6.0897,6.1018,6.0898,6.0897,0.0,0.0, , 
2020-04-08,79468703.19,6.1018,6.1906,6.1019,6.1018,0.0,0.0, , 
2020-04-07,80625037.22,6.1906,5.9288,6.1907,6.1906,0.0,0.0, , 
2020-04-03,77215665.96,5.9288,5.9670000000000005,5.9289,5.9288,0.0,0.0, , 
2020-04-02,77713203.97,5.9670000000000005,5.7586,5.9671,5.9670000000000005,0.0,0.0, , 
2020-04-01,75166646.55,5.7586,5.8206,5.7587,5.7586,0.0,0.0, , 
2020-03-31,75975056.25,5.8206,5.7653,5.8207,5.8206,0.0,0.0, , 
2020-03-30,75253972.92,5.7653,5.7843,5.7654,5.7653,0.0,0.0, , 
2020-03-27,75501498.44,5.7843,5.7892,5.7844,5.7843,0.0,0.0, , 
2020-03-26,75565767.55,5.7892,5.7970000000000015,5.7893,5.7892,0.0,0.0, , 
2020-03-25,75667326.14,5.7970000000000015,5.7087,5.7971,5.7970000000000015,0.0,0.0, , 
2020-03-24,74515394.87,5.7087,5.9593,5.7088,5.7087,0.0,0.0, , 
2020-03-20,77785630.49,5.9593,5.805,5.9594,5.9593,0.0,0.0, , 
2020-03-19,75771890.88,5.805,5.8264,5.8051,5.805,0.0,0.0, , 
2020-03-18,76051720.63,5.8264,5.8394,5.8265,5.8264,0.0,0.0, , 
2020-03-17,76220445.51,5.8394,5.8551,5.8395,5.8394,0.0,0.0, , 
2020-03-16,76425602.92,5.8551,6.1258,5.8552,5.8551,0.0,0.0, , 
2020-03-13,81741459.93,6.1258,6.1265,6.1259,6.1258,0.0,0.0, , 
2020-03-12,84160129.05,6.1265,6.4711,6.1266,6.1265,0.0,0.0, , 
2020-03-11,88895114.42,6.4711,6.5583,6.4712,6.4711,0.0,0.0, , 
2020-03-10,90091724.17,6.5583,6.5252,6.5584,6.5583,0.0,0.0, , 
2020-03-09,89637195.4,6.5252,6.8576,6.5253,6.5252,0.0,0.0, , 
2020-03-06,94203226.5,6.8576,6.9439,6.8577,6.8576,0.0,0.0, , 
2020-03-05,95389022.09,6.9439,6.9214,6.944,6.9439,0.0,0.0, , 
2020-03-04,95080031.31,6.9214,6.9296,6.9215,6.9214,0.0,0.0, , 
2020-03-03,95192238.96,6.9296,6.7884,6.9297,6.9296,0.0,0.0, , 
2020-03-02,93253191.0,6.7884,6.8339,6.7885,6.7884,0.0,0.0, , 
2020-02-28,93877747.75,6.8339,7.055,6.834,6.8339,0.0,0.0, , 
2020-02-27,97941102.78,7.055,6.966,7.0551,7.055,0.0,0.0, , 
2020-02-26,96706093.51,6.966,7.1875,6.9661,6.966,0.0,0.0, , 
2020-02-25,99781625.52,7.1875,7.1168,7.1876,7.1875,0.0,0.0, , 
2020-02-24,98800130.23,7.1168,7.3219,7.1169,7.1168,0.0,0.0, , 
2020-02-21,101647319.95,7.3219,7.2807,7.322,7.3219,0.0,0.0, , 
2020-02-20,101074678.9,7.2807,7.3181,7.2808,7.2807,0.0,0.0, , 
2020-02-19,101594232.98,7.3181,7.3415,7.3182,7.3181,0.0,0.0, , 
2020-02-18,101919370.4,7.3415,7.3608,7.3416,7.3415,0.0,0.0, , 
2020-02-17,102186847.37,7.3608,7.3753,7.3609,7.3608,0.0,0.0, , 
2020-02-14,102388224.55,7.3753,7.3926,7.3754,7.3753,0.0,0.0, , 
2020-02-13,102628507.54,7.3926,7.4143,7.3927,7.3926,0.0,0.0, , 
2020-02-12,102929528.47,7.4143,7.3776,7.4144,7.4143,0.0,0.0, , 
2020-02-11,103135180.17,7.3776,7.3954,7.3777,7.3776,0.0,0.0, , 
2020-02-07,103384094.62,7.3954,7.3846,7.3955,7.3954,0.0,0.0, , 
2020-02-06,103233656.93,7.3846,7.4067,7.3847,7.3846,0.0,0.0, , 
2020-02-03,101888053.9,7.2848,7.3572,7.2849,7.2848,0.0,0.0, , 
2020-01-29,103249102.25,7.3814,7.3234,7.3815,7.3814,0.0,0.0, , 
2020-01-28,102437545.07,7.3234,7.3524,7.3235,7.3234,0.0,0.0, , 
2020-01-27,102842925.76,7.3524,7.5205,7.3525,7.3524,0.0,0.0, , 
2020-01-24,105194856.56,7.5205,7.5161,7.5206,7.5205,0.0,0.0, , 
2020-01-23,105132908.11,7.5161,7.5516,7.5162,7.5161,0.0,0.0, , 
2020-01-22,105629943.05,7.5516,7.5263,7.5517,7.5516,0.0,0.0, , 
2020-01-21,105276002.61,7.5263,7.5955,7.5264,7.5263,0.0,0.0, , 
2020-01-20,106242822.52,7.5955,7.6208,7.5956,7.5955,0.0,0.0, , 
2020-01-17,106598089.05,7.6208,7.6043,7.6209,7.6208,0.0,0.0, , 
2020-01-15,105780910.58,7.5624,7.5979,7.5625,7.5624,0.0,0.0, , 
2020-01-14,106388052.29,7.5979,7.615,7.598,7.5979,0.0,0.0, , 
2020-01-13,106626947.57,7.615,7.6173,7.6151,7.615,0.0,0.0, , 
2020-01-10,106658744.13,7.6173,7.6323,7.6174,7.6173,0.0,0.0, , 
2020-01-07,106452235.08,7.6025,7.5183,7.6026,7.6025,0.0,0.0, , 
2020-01-06,105273308.58,7.5183,7.6177,7.5184,7.5183,0.0,0.0, , 
2020-01-03,106664135.21,7.6177,7.6493,7.6178,7.6177,0.0,0.0, , 
2020-01-02,107106891.64,7.6493,7.5509,7.6494,7.6493,0.0,0.0, , 
2019-12-30,105729102.14,7.5509,7.5736,7.551,7.5509,0.0,0.0, , 
2019-12-27,106414699.45,7.5736,7.558,7.5737,7.5736,0.0,0.0, , 
2019-12-26,106341179.8,7.558,7.559,7.5581,7.558,0.0,0.0, , 
2019-12-25,106355743.83,7.559,7.534,7.5591,7.559,0.0,0.0, , 
2019-12-24,106004588.84,7.534,7.555,7.5341,7.534,0.0,0.0, , 
2019-12-23,106501908.45,7.555,7.5445,7.5551,7.555,0.0,0.0, , 
2019-12-20,106507790.55,7.5445,7.5368,7.5446,7.5445,0.0,0.0, , 
2019-12-19,106399121.34,7.5368,7.532999999999999,7.5369,7.5368,0.0,0.0, , 
2019-12-18,106360479.23,7.532999999999999,7.426,7.5331,7.532999999999999,0.0,0.0, , 
2019-12-16,104422094.22,7.3957,7.494,7.3958,7.3957,0.0,0.0, , 
2019-12-13,105817655.65,7.494,7.4942,7.4941,7.494,0.0,0.0, , 
2019-12-11,105300103.1,7.4573,7.4995,7.4574,7.4573,0.0,0.0, , 
2019-12-09,105895575.36,7.4995,7.475,7.4996,7.4995,0.0,0.0, , 
2019-12-06,105550071.93,7.475,7.5207,7.4751,7.475,0.0,0.0, , 
2019-12-04,106195534.9,7.5207,7.5337,7.5208,7.5207,0.0,0.0, , 
2019-12-03,106378760.36,7.5337,7.5364,7.5338,7.5337,0.0,0.0, , 
2019-12-02,106416923.45,7.5364,7.6301,7.5365,7.5364,0.0,0.0, , 
2019-11-29,107739842.44,7.6301,7.6125,7.6302,7.6301,0.0,0.0, , 
2019-11-26,109452763.01,7.6464,7.7288,7.6465,7.6464,0.0,0.0, , 
2019-11-22,110623426.57,7.7142,7.6259,7.7143,7.7142,0.0,0.0, , 
2019-11-19,110932200.0,7.7097,7.7266,7.7098,7.7097,0.0,0.0, , 
2019-11-08,114246658.71,7.8469,7.8562,7.847,7.8469,0.0,0.0, , 
2019-11-07,114382375.43,7.8562,7.7907,7.8563,7.8562,0.0,0.0, , 
2019-11-01,112155722.43,7.6615,7.6975,7.6616,7.6615,0.0,0.0, , 
