nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,23206632.46,10.2218,10.2302,10.2219,10.2218,10.2219,10.2218,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 30 เม.ย. 2563,NAV as of 30 April 2020
2020-04-30,23225516.68,10.2302,10.1596,10.2303,10.2302,10.2303,10.2302,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 29 เม.ย. 2563,NAV as of 29 April 2020
2020-04-29,23065227.04,10.1596,10.077,10.1597,10.1596,10.1597,10.1596,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 28 เม.ย. 2563,NAV as of 28 April 2020
2020-04-28,22867863.57,10.077,9.9225,10.0771,10.077,10.0771,10.077,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 27 เม.ย. 2563,NAV as of 27 April 2020
2020-04-27,22517101.75,9.9225,9.9512,9.9226,9.9225,9.9226,9.9225,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 24 เม.ย. 2563,NAV as of 24 April 2020
2020-04-24,22582349.33,9.9512,9.8778,9.9513,9.9512,9.9513,9.9512,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 23 เม.ย. 2563,NAV as of 23 April 2020
2020-04-23,22415791.49,9.8778,9.8711,9.8779,9.8778,9.8779,9.8778,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 22 เม.ย. 2563,NAV as of 22 April 2020
2020-04-22,22395437.51,9.8711,9.9909,9.8712,9.8711,9.8712,9.8711,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 21 เม.ย. 2563,NAV as of 21 April 2020
2020-04-21,22667035.03,9.9909,10.0559,9.991,9.9909,9.991,9.9909,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 20 เม.ย. 2563,NAV as of 20 April 2020
2020-04-20,22810139.02,10.0559,9.8739,10.056000000000001,10.0559,10.056000000000001,10.0559,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 17 เม.ย. 2563,NAV as of 17 April 2020
2020-04-17,22397149.56,9.8739,9.855,9.874,9.8739,9.874,9.8739,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 16 เม.ย. 2563,NAV as of 16 April 2020
2020-04-16,22349605.99,9.855,9.9948,9.8551,9.855,9.8551,9.855,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 15 เม.ย. 2563,NAV as of 15 April 2020
2020-04-15,22645471.89,9.9948,9.8705,9.9949,9.9948,9.9949,9.9948,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 14 เม.ย. 2563,NAV as of 14 April 2020
2020-04-14,22363956.9,9.8705,9.8705,9.8706,9.8705,9.8706,9.8705,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 09 เม.ย. 2563,NAV as of 09 April 2020
2020-04-13,22363956.9,9.8705,9.8705,9.8706,9.8705,9.8706,9.8705,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 09 เม.ย. 2563,NAV as of 09 April 2020
2020-04-10,22363956.9,9.8705,9.5798,9.8706,9.8705,9.8706,9.8705,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 09 เม.ย. 2563,NAV as of 09 April 2020
2020-04-09,21705147.52,9.5798,9.7114,9.5799,9.5798,9.5799,9.5798,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 08 เม.ย. 2563,NAV as of 08 April 2020
2020-04-08,21924213.54,9.7114,9.2422,9.7115,9.7114,9.7115,9.7114,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 07 เม.ย. 2563,NAV as of 07 April 2020
2020-04-07,20863035.33,9.2422,9.1524,9.2423,9.2422,9.2423,9.2422,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 03 เม.ย. 2563,NAV as of 03 April 2020
2020-04-03,20660241.69,9.1524,9.235,9.1525,9.1524,9.1525,9.1524,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 02 เม.ย. 2563,NAV as of 02 April 2020
2020-04-02,20846781.4,9.235,9.4228,9.2351,9.235,9.2351,9.235,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 01 เม.ย. 2563,NAV as of 01 April 2020
2020-04-01,21270523.94,9.4228,9.3643,9.4229,9.4228,9.4229,9.4228,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 31 มี.ค. 2563,NAV as of 31 March 2020
2020-03-31,21138420.06,9.3643,9.3355,9.3644,9.3643,9.3644,9.3643,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 30 มี.ค. 2563,NAV as of 30 March 2020
2020-03-30,21073408.82,9.3355,9.3661,9.3356,9.3355,9.3356,9.3355,ประกาศมูลค่าหน่วยลงทุนประจำวันที่ 27 มี.ค. 2563,NAV as of 27 March 2020
