nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,74220384.11,5.3014,5.3782,5.3014,5.3014,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-30,75295611.4,5.3782,5.247000000000001,5.3782,5.3782,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-29,73458298.45,5.247000000000001,5.2027,5.247000000000001,5.247000000000001,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-28,72838801.74,5.2027,5.1927,5.2027,5.2027,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-27,72698265.4,5.1927,5.149,5.1927,5.1927,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-24,72086321.85,5.149,5.1983,5.149,5.149,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-23,72777141.99,5.1983,5.1262,5.1983,5.1983,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-22,71767104.57,5.1262,5.0581,5.1262,5.1262,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-21,70813501.51,5.0581,5.1111,5.0581,5.0581,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-20,71555823.5,5.1111,4.9786,5.1111,5.1111,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-17,69700942.62,4.9786,4.8609,4.9786,4.9786,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-16,68052952.06,4.8609,5.1022,4.8609,4.8609,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-15,71431237.78,5.1022,5.1711,5.1022,5.1022,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-14,72395893.47,5.1711,5.1322,5.1711,5.1711,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-13,71851062.84,5.1322,5.1458,5.1322,5.1322,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-10,72041597.68,5.1458,5.0784,5.1458,5.1458,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-09,71098551.16,5.0784,5.0974,5.0784,5.0784,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-08,71363814.77,5.0974,5.2324,5.0974,5.0974,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-07,73253915.74,5.2324,4.7488,5.2324,5.2324,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-02,66484352.33,4.7488,4.4494,4.7488,4.7488,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-04-01,62292753.06,4.4494,4.4956,4.4494,4.4494,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-03-31,62939119.86,4.4956,4.3223,4.4956,4.4956,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-03-30,60512278.23,4.3223,4.398,4.3223,4.3223,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
2020-03-27,61572015.85,4.398,4.4635,4.398,4.398,0.0,0.0,คำนวณ NAV ทุกวันทำการ, 
