date,r_ytd,sd_ytd,r_3m,sd_3m,r_6m,sd_6m,r_1y,sd_1y,r_2y,sd_2y,r_3y,sd_3y,r_4y,sd_4y,r_5y,sd_5y
2020-05-06,-14.031076839617185,34.111342945406356,-14.023081156072992,37.06303059471418,-11.890389197776141,30.969010711387362,-12.02734424565416,23.429960044437294,-8.171861845375627,18.90057100043968,,,,,,
2020-05-05,-15.155577943968703,34.231742117133926,-14.119299016300811,37.04238016132437,-11.659189206636135,31.006172898778793,-13.17805481537878,23.437843446956464,-8.774409468648969,18.893248627031678,,,,,,
2020-05-04,-15.155577943968707,34.231742117133926,-12.682942391590393,36.930874324190896,-11.659189206636146,31.0061728987788,-13.178054815378804,23.437843446956464,-8.774409468648956,18.893248627031678,,,,,,
2020-05-01,-15.155577943968707,34.231742117133926,-12.682942391590393,36.930874324190896,-11.659189206636135,31.0061728987788,-12.627193717528119,23.387996725936432,-8.974504859331645,18.838237181937988,,,,,,
2020-04-30,-15.976285503933052,34.40161098678834,-15.906552494415505,37.21502581501608,-12.27161652614377,30.95978264699461,-13.47235856058604,23.42032193519217,-9.415823493123556,18.844708297364463,,,,,,
2020-04-29,-16.37307707211223,34.6240736576361,-16.303673368081416,37.51177040374071,,,-14.2607424357996,23.415612463393764,-9.262508376612056,18.852648864086976,,,,,,
2020-04-28,-17.774247297244962,34.67613450178019,-17.70600645321423,37.60761904677522,,,-15.180391561208385,23.3364404677348,-10.025873381408124,18.824801150849108,,,,,,
2020-04-27,-17.37668074553418,34.93137751968267,-18.38364197294591,37.66286767750614,,,-14.77028355810658,23.396027615354466,-9.808620465390536,18.84576036041125,,,,,,
2020-04-24,-17.37668074553418,34.93137751968267,-18.383641972945885,37.662867677506135,,,-15.064968173163585,23.27889361658886,-10.904502365272915,18.8049173143411,,,,,,
2020-04-23,-17.985817801371727,35.41125110927085,-18.98535524814934,38.29219925582693,,,-15.593644818070207,23.327064016152267,-11.058536815481023,18.823464504036625,,,,,,
2020-04-22,-15.976285503933052,35.437960570489466,-17.642143643890805,38.046056404870725,,,-13.53791189511626,23.16870986516373,-10.808329306923248,18.784858246331094,,,,,,
2020-04-21,-16.23513000348743,35.70069741086222,-17.203395023899994,38.106140825150256,,,-14.152734204360428,23.167719404758053,-10.945817760592737,18.806706664375923,,,,,,
2020-04-20,-17.652574882783746,35.76438342568024,-20.2735655814582,38.01391265563697,,,-15.605416782494766,23.135194054349398,-11.702507082791426,18.77696920799109,,,,,,
2020-04-17,-17.652574882783746,35.76438342568024,-20.273565581458186,38.01391265563698,,,-15.808698270329401,23.07228684078363,-11.016269738360915,18.757460715567788,,,,,,
2020-04-16,-16.559848103227814,36.33871075509529,-18.093434055275377,38.561646384230976,,,-14.305839654253006,23.1240858833774,-10.992135377369973,18.79354573771845,,,,,,
2020-04-15,-17.960243344828942,36.4137476738926,-20.10867514433417,38.30086941497488,,,,,-11.742215608381837,18.76460586553916,,,,,,
2020-04-14,-19.226566435463255,36.81282376605158,-21.34183615712615,38.77689685428524,,,,,-12.426015233371393,18.763233674326177,,,,,,
2020-04-13,-19.226566435463255,36.81282376605157,-21.07259963802418,38.433991158493015,,,,,-12.426015233371382,18.763233674326173,,,,,,
2020-04-10,-19.226566435463255,36.81282376605158,-20.627208480565397,38.12422684779927,,,,,-12.439544302299021,18.7180643086564,,,,,,
2020-04-09,-18.63525400085248,37.1312164009866,-19.585631127451038,38.1777699427096,,,,,-11.592927683514011,18.737692906551747,,,,,,
2020-04-08,-22.678343085209452,35.50030092059417,-22.32014948614143,36.39535115634974,,,,,-13.48380525915206,18.263659287363147,,,,,,
2020-04-07,-22.06765606230868,35.81977925356729,-21.706633447524165,36.74321796489025,,,,,-13.142824426690492,18.278125610262688,,,,,,
2020-04-06,-22.067656062308693,35.8197792535673,-21.706633447524187,36.743217964890256,,,,,-13.142824426690492,18.27812561026269,,,,,,
2020-04-03,-22.06765606230868,35.81977925356729,-22.346291062410288,36.39686027142015,,,-20.212639346213347,22.05139353344801,-13.51348838425218,18.2733476540494,,,,,,
2020-04-02,-20.974929282752754,36.45038197095757,-21.615201900237537,36.70116821695666,,,,,-12.823628367274988,18.272860546624987,,,,,,
2020-04-01,-22.08625566706708,36.57257620099176,-22.08625566706708,36.57257620099176,,,,,-13.422644822468701,18.23386128885888,,,,,,
2020-03-31,-21.254698337660336,36.912055522378736,-21.254698337660336,36.912055522378736,,,,,-12.96185989416867,18.24004404123448,,,,,,
2020-03-30,-21.711938621304288,37.212189776292725,-21.711938621304288,37.212189776292725,,,,,-13.214924412972472,18.25612767247932,,,,,,
2020-03-27,-21.711938621304306,37.212189776292725,-21.643319216270328,36.85889130297096,,,-17.61150938318121,22.00874480950968,-13.822842462973053,18.27519235166124,,,,,,
2020-03-26,-25.727903282055248,35.65978970458068,-24.92499314558772,35.13747553030118,,,,,-15.81029517310122,17.828772158476202,,,,,,
2020-03-25,-28.890611074514684,34.02199647709651,-28.26182136602453,33.24477191577094,,,,,-17.38336125706449,17.461441298330687,,,,,,
2020-03-24,-28.36904715774789,29.669207852392987,-27.73564548411309,29.053313721688326,,,,,-17.080931899193764,16.407078254932173,,,,,,
2020-03-23,-28.36904715774791,29.669207852392987,-27.73564548411309,29.053313721688326,,,,,-17.080931899193796,16.40707825493218,,,,,,
2020-03-20,-28.36904715774789,29.669207852392987,-27.75993184678034,28.785150507545037,,,-25.14900715882213,18.470762943746852,-18.29035345071961,16.435079352443694,,,,,,
2020-03-19,-22.66749331576705,28.40398628764637,-21.962931101900363,27.20101375918468,,,,,-15.021498239924448,15.916473595704398,,,,,,
2020-03-18,-21.881660014724694,28.729816813578385,-21.53321604832557,27.17668843634871,,,,,-14.798976242690987,15.902422740879246,,,,,,
2020-03-17,-16.69004533653662,25.331258559952094,-16.01706236670025,23.72359977993857,,,,,-12.013354746854732,15.13308166487834,,,,,,
